query,response
"Мама, а что забавного делают животные летом?","Лето, лето к нам пришло,
Стало сухо и тепло,
По дорожке прямиком
Ходят ножки босиком.

Кружат пчелы, 
Вьются птицы,
А Маринка 
Веселится.
Увидала петуха:
– Вот так чудо! Ха-ха-ха!

Удивительный петух:
Сверху – перья, снизу – пух!
Увидала поросёнка,
Улыбается девчонка:
– Кто от курицы бежит,
На всю улицу визжит?

Вместо хвостика крючок,
Вместо носа пятачок!
Пятачок дырявый,
А крючок вертлявый?

А Барбос, рыжий пёс,
Рассмешил её до слез.
Он бежит не за котом,
А за собственным хвостом.

Хитрый хвостик вьётся,
В зубы не даётся.
Пёс уныло ковыляет,
Потому что он устал.
Хвостик весело виляет:
«Не достал! Не достал!»

Ходят ножки босиком
По дорожке прямиком.
Стало сухо и тепло.
Лето, лето к нам пришло!"
"Расскажи, пожалуйста, стихотворение про коровку?","А у божьей, у Коровки
Крылья - пёстрые обновки.
На спине у модных крошек
Видим чёрные горошки."
Почему барашки не могли разойтись на мостике?,"По крутой тропинке горной
Шёл домой барашек чёрный
И на мостике горбатом
Повстречался с белым братом.

И сказал барашек белый:
""Братец, вот какое дело:
Здесь вдвоём нельзя пройти -
Ты стоишь мне на пути"".

Чёрный брат ответил: ""Ме-е,
Ты в своём, баран, уме-е?
Пусть мои отсохнут ноги,
Не сойду с твоей дороги!""

Помотал один рогами,
Уперся другой ногами...
Как рогами ни крути,
А вдвоём нельзя пройти.

Сверху солнышко печёт,
А внизу река течёт.
В этой речке утром рано
Утонули два барана."
"Мама, почитай мне, пожалуйста, стихотворение про книги.","О сколько в этом доме книг!
Внимательно всмотрись –
Здесь тысячи друзей твоих
На полках улеглись.
Они поговорят с тобой
И ты, мой юный друг,
Весь путь истории земной
Как бы увидишь вдруг..."
"Мама, а почему это я всегда должен держать тебя за руку, когда мы гуляем?","Когда я по городу с мамой хожу,
За руку маму я крепко держу:
Зачем ей идти и бояться,
Что может она потеряться?"
"Расскажи стихотворение про то, где находится медведь зимой?","Медвежьего следа зимой не сыскать,
Отправила Зимушка Мишеньку спать.
В берлоге он сладкую лапу сосет,
А снится ему, что он кушает мед.
От радости Мишка довольно урчит.
Эй, звери, потише… Пусть Миша поспит."
"А расскажи, как выглядит Зима?","Она в сапожках белых
И в шубке голубой
Букет снежинок спелых
Приносит нам с тобой.
Белым-бела до пояса
Роскошная коса
И теплые-претеплые
Лучистые глаза.
В прозрачных льдинках варежки
И шапочка на ней.
Нам свет и радость даришь ты,
Любимица детей."
"Мамочка, как я могу выразить свою любовь к тебе?","Мамочка наша родная,
Эти нежные строки - тебе.
Самой милой и самой красивой,
Самой доброй на этой земле.
Пусть печали в твой дом не заходят,
Пусть болезни пройдут стороной.
Мы весь мир поместили б в ладони
И тебе подарили одной.
Но и этого было бы мало,
Чтоб воздать за твою доброту.
Мы всю жизнь, наша милая мама,
Пред тобой в неоплатном долгу.
Спасибо, родная, за то, что растила,
За то, что взамен ничего не просила.
Что горе и радость деля пополам,
Во всем лучшей доли желала ты нам.
Красива, заботлива, нежно нежна,
Ты нам ежедневно и вечно нужна!"
Почему под Новый год обязательно исполняются все желания?,"Говорят: под Новый год
Что ни пожелается –
Все всегда произойдет,
Все всегда сбывается.
Могут даже у ребят
Сбыться все желания,
Нужно только, говорят,
Приложить старания.
Не лениться, не зевать
И иметь терпение,
И ученье не считать
За свое мучение."
Почему долго не наступает весна?,"Еще неделя пролетит,
И март капелью зазвенит.
За ним апрель в цветах придет,
И землю солнышко зальет.
По рощам, паркам соловьи
Концерты вновь начнут свои."
"Мама, расскажи, как можно слепить снеговика?","Раскраснелась детвора -
Накатала три шара!
Друг на друга их сложили,
И ведро нагромоздили.
Нос - морковка, уголь - глазки,
Снеговик из детской сказки!
Руки - ветки, рот - конфета.
Пусть стоит теперь до лета!"
"Расскажи, дедушка, как снеговиков лепят?","Что стоишь и ждёшь, дружок:
Ком, комочек и комок?
Угли — глазки, нос — морковка,
И метёлку держишь ловко.
Мне прекрасно здесь стоится,
В двери Новый год стучится,
Дедушка Мороз и вьюга
Лепят для меня подругу."
Расскажи мне стишок про счёт.,"Раз, два, три, четыре, пять,
Научились мы считать.
Ну а дальше мы не знаем,
Может, вместе посчитаем?
Шесть – конфеты любим, есть,
Семь – мы помогаем всем,
Восемь – мы друзей в беде не бросим.
Девять – учимся на пять,
Десять – кончили считать.
Мы закончили считать,
Можно в парке поиграть,
И скворечников повесить:
Шесть, семь, восемь, девять, десять."
"Скажи, мама, откуда берутся снежинки?","Кто вяжет снежинки и с неба бросает?
Узоров таких даже мама не знает,
И пряжи нигде не встречали такой -
Наш город весь белый, слегка голубой.
А, может быть, их вырезают из ситца
И тихо спускают ко мне на ресницы?
Слезой на щеках они медленно тают...
Откуда снежинки? Хоть кто-нибудь знает?"
"Мама, а почему Леночку все время посылают выступать с букетами цветов и произносить приветствия на разных мероприятиях?","Вышла Леночка на сцену,
Шум пронесся по рядам.
- От детей,- сказала Лена,- 
Я привет вам передам.

Лена в день Восьмого марта
Говорила мамам речь.
Всех растрогал белый фартук,
Банты, локоны до плеч.

Не нарадуются мамы:
- До чего она мила!-
Лучшим номером программы
Эта девочка была.

Как-то в зале райсовета
Депутаты собрались.
Лена, девочка с букетом,
Вышла к ним из-за кулис.

Лена держится так смело,
Всем привет передает,
Ей знакомо это дело:
Выступает третий год.

Третий год, зимой и летом,
Появляется с букетом:
То придет на юбилей,
То на съезд учителей.

Ночью Леночке не спится,
Днем она не пьет, не ест:
""Ой, другую ученицу
Не послали бы на съезд!""

Говорит спокойно Лена:
- Завтра двойку получу - 
У меня районный пленум,
Я приветствие учу.

Лена, девочка с букетом,
Отстает по всем предметам:
Ну когда учиться ей?
Завтра снова юбилей!"
"Расскажи мне стишок про бычка, который потерялся и ищет свою семью.","Маленький бычок,
Желтенький бочок,
Ножками ступает,
Головой мотает:
– Где же стадо? Му-у-у!
Скучно одному-у!"
"Елочка, почему ты грустная?","Елка новогодняя в комнате стоит
И, блестя игрушками, с нами говорит.
Вспоминает елочка с грустью зимний лес,
Полный звонких песенок, сказок и чудес.
Елка новогодняя, не грусти ты зря, -
Мы твои веселые, верные друзья.
Так сверкай же радугой праздничной для нас,
Будь счастливой, елочка, как и мы сейчас!"
"Мама, расскажи стишок про то, как маленькие носорожки умываются по утрам.","Чистят ушки, моют рожки
Очаровашки - носорожки.
Чистоту проверит строго
Утром мама носорога."
"Расскажи мне красивое стихотворение про дружбу и любовь, как в мультике ""Холодное сердце"".","Шлю тебе я валентинку,
Растопить в сердечке льдинку,
Как Анна с Эльзой мы тогда
Будем вместе навсегда!"
"Как мне весело погулять, если я не лошадка?","Ты куда спешишь, лошадка?
У меня с утра зарядка!
Тороплюсь я в чисто поле,
Чтобы там побегать вволю!"
"Бабушка, я видел странный сон перед контрольной работой. Что он может значить?","Как раз перед контрольной.
– Всё ясно! Значит, я пропал! –
Решил он недовольно.
И к бабке обратился он,
Узнать, что означает сон.
Старуха думала полдня:
«Кровь… Значит, съедется родня.
А, скажем, лошадь, – это ложь.
Собака? Друга ты найдешь.
А самосвал? Скажи на милость!
Да нам такое и не снилось!»"
"Мама, расскажи, что такое Новый год?","Что такое Новый год?
Это дружный хоровод,
Это смех ребят веселых
Возле всех нарядных елок.
Что такое Новый год?
Всем известно наперед;
Это дудочки и скрипки,
Шутки, песни и улыбки.
Тот, кто хочет, чтоб веселым
Был бы этот Новый год,
Пусть сегодня вместе с нами
Песню звонкую поет!"
"Расскажи, как правильно заправлять кровать, чтобы было красиво и аккуратно?","Я, как мама, не люблю
В доме беспорядка.
Одеяло расстелю
Ровненько да гладко.
На пуховые подушки
Я накину кисею.
Полюбуйтесь-ка, игрушки,
На работу на мою!"
"Придумайте короткое стихотворение о мальчике, который со своего окна приветствовал всех прохожих добрым утром.","Шла вчера я по Садовой,
Так была удивлена —
Паренек белоголовый
Закричал мне из окна:
— С добрым утром! С добрым утром!
Я спросила: — Это мне?
— Улыбнулся он в окне,
Закричал еще кому-то:
— С добрым утром! С добрым утром!
Малышам и взрослым людям
Паренек махал рукой,
С ним теперь знакомы будем:
Это Вовка — есть такой!"
"Пожалуйста, придумай небольшое стихотворение про зиму и Рождество для моего маленького ребенка.","Пушистый снег Покрыл дремучий лес,
Уснула тихим сном земля,
Померкнул свод небес.
Сегодня отдых от труда,
Забвенье всех забот...
Зажжётся первая звезда —
И к нам Христос сойдёт.
Сойдёт, чтоб в каждую семью
Внести покой и мир,
Всем благость проявить свою,
Устроить детям пир."
"Пожалуйста, придумай короткое стихотворение про речной огурчик, который прячется под листиками, и про то, как его можно сорвать и съесть с солью.","Погляди на огурец,
Огурец – такой хитрец!
Ловко одевается,
Под листьями скрывается.
Разгребу рукой листву,
С грядки огурец сорву.
Пополам разломлю,
Густо-густо посолю.
Сам я огурцы ращу,
Приходите – угощу!"
"Сочините короткое забавное стихотворение о любознательном озорном котенке, который норовит поймать все, что движется.","Если кто-то с места сдвинется,
На него котенок кинется.
Если что-нибудь покатится,
За него котенок схватится.
Прыг-скок! Цап-царап!
Не уйдешь из наших лап!"
"Можно ли написать небольшое стихотворение про забавы зимой на санках и горке для малышей, познакомить их с понятием ""каприз"" в шутливой форме?","Съезжают санки сами вниз,
Но есть у них один каприз.
Чтоб с горки мчались сани,
Мы вверх их тащим сами."
"Придумай небольшое стихотворение о том, как лягушка охотится в пруду на рыбок и насекомых.","Стой, плотва и караси!
И пощады не проси!
Я хозяйка здесь, в пруду.
На охоту я иду."
"Придумай короткое стихотворение про кабанчика, который пришёл под дуб за желудями.","Эй, кабанчик! – крикнул дуб. –
Почему ты рыщешь тут?
- Ах, дубочек, как ты глуп –
Здесь же желуди растут!"
Придумайте небольшое стихотворение со словами благодарности и любви от ребёнка к маме на её день рождения.,"Ты, мама, моя лучшая подруга!
И от тебя секретов просто нет,
Мы столько знаем друг о друге,
Ведь вместе мы уж много лет.
Сегодня, мама, праздник твой,
За все хорошее тебя благодарю,
Пускай в душе твоей царит покой,
Здоровья, счастья, я тебя люблю!"
"Придумайте, пожалуйста, короткое стихотворение про первоклассника, который идет в школу нарядным и гордым.","Первоклассник, первоклассник
Нарядился, как на праздник!
Даже в лужу не зашёл:
Погляделся и пошёл.
Уши вымыты до глянца,
Алый гриб на крышке ранца,
Да и сам он как грибок
Из-под кепки смотрит вбок:
Все ли видят? Все ли знают?
Все ль от зависти вздыхают?"
"Пожалуйста, сочини короткое стихотворение про различия между Букой и Бякой, чтобы мой ребенок лучше их запомнил.","Ах, многие считают,
Что Бука - это Бяка,
А это совершенно
Неправильно, однако!
Да, нас нетрудно спутать,
Но в том-то вся и штука,
Что Бяка - это Бяка,
А Бука - это Бука.
Хотя не спорю, всякий
Порою смотрит букой,
Хотя не скрою, всякий
Порой бывает бякой,
Но путать Буку с Бякой
А также Бяку с Букой
Всем детям строго-настрого
Запрещено наукой!"
"Придумай короткое стихотворение про путешествия шапки по разным местам и про то, что она видела в этих местах.","– Шапка, шапка, где была?
– Я была в кино.
– Что ж ты, шапка, видела?
– Было так темно…
Задремала я нечаянно
На коленях у хозяина.
– Шапка, шапка, где была?
– В цирке шапито.
– Что ж ты в цирке видела?
– Шапки да пальто,
Номерки, зонты и палки –
Всё, что было в раздевалке!"
"Пожалуйста, придумайте небольшое стихотворение о том, как кто-то шьет одежду для всей семьи, включая домашнего питомца.","Целый день сегодня Шью.
Я одела Всю семью.
Погоди немного, кошка, -
Будет и тебе одежка!"
"Придумайте небольшое стихотворение о Деде Морозе, который идёт на новогодний праздник с подарками для детей.","Дед Мороз идёт на праздник
В красной шубе, в валенках,
Он несёт с собой подарки
Для детишек маленьких!"
"Сочини короткое стихотворение о том, как старшая сестра обращается к младшему братику, когда они вместе гуляют в саду.","Утром сад в сиянье, в блеске,
На кустах горит роса,
Над коляской занавески
Поднялись, как паруса.
Ветерок листву качает.
Света думает: «А вдруг
Всё мальчишка замечает?
Он лежит, глядит вокруг...
Мы в саду забудем книжку
Или влезем на забор —
Поглядит на нас братишка,
Будет брать пример с сестер!»
Говорит сердито братцу
Света, старшая сестра:
— Подрастешь, не вздумай драться,
Например, как мы вчера!"
"Пожалуйста, сочини трогательное стихотворение о маме, выразив в нём всю нашу любовь и благодарность самому дорогому человеку на свете.","Любому, кто живет на белом свете,
Любить, кто может, думать и дышать,
На нашей грешной голубой планете
Родней и ближе слова нет, чем мать.

Нам наши мамы, мамочки родные
Сердца и жизни отдадут без слов.
Для нас они воистину святые,
Неважно, что нет нимбов у голов.

Мы маму вспоминаем, словно Бога,
Коль с нами вдруг случается беда.
Ухабиста, порой судьбы дорога,
Однако матери поймут детей всегда.

Поймут детей и в радости и в горе,
Уберегут родных детей от бед.
С родной лишь мамой по колено море,
Лишь мамин нужен в трудный миг совет.

Мы в жизни разными дорогами шагали
Неважно, сколько зим и сколько лет,
Но эту истину давно уже познали:
Родней, чем мама, человека нет."
"Пожалуйста, придумайте короткое стихотворение про девочку, которая впервые влюбилась в одноклассника, но он ее не понимает и даже обижает.","Каждый может догадаться -
Антонина влюблена!
Ну и что ж! Ей скоро двадцать,
А на улице весна!
Только звякнет телефон,
Тоня шепчет: - Это он!
Стала ласковой и кроткой,
Ходит легкою походкой,
По утрам поет, как птица...
Вдруг и младшая сестрица
Просыпается чуть свет,
Говорит:- Пора влюбиться!
Мне почти тринадцать лет.
И Наташа на уроке
Оглядела всех ребят:
""Юрка? Слишком толстощекий!
Петя ростом маловат!
Вот Алеша славный малый!
Я влюблюсь в него, пожалуй"".
Повторяет класс по карте,
Где Иртыш, где Енисей,
А влюбленная на парте
Нежно шепчет:- Алексей!
Алик смотрит огорченно:
""Что ей нужно от меня?""
Всем известно, что девчонок
Он боится как огня,
Он понять ее не в силах!
То она глаза скосила,
То резинку попросила,
То она вздыхает тяжко,
То зачем-то промокашку
Подает ему любя.
Алик вышел из себя!
Поступил он с ней жестоко
Отлупил после урока.
Так вот с первого свиданья
Начинаются страданья."
"Придумайте небольшое весёлое стихотворение, в котором маленький сын зовёт маму присоединиться к нему поиграть, а она сначала отказывается из-за домашних дел, но потом передумывает и с радостью идёт к малышу.","Сын зовёт: „Агу, агу!"" -
Мол, побудь со мною.
А в ответ: - Я не могу,
Я посуду мою.
Но опять: „Агу, агу!"" -
Слышно с новой силой.
И в ответ: - Бегу, бегу,
Не сердись, мой милый!"
"Пожалуйста, придумай короткое стихотворение о сельской жизни, о рассвете и начале нового рабочего дня в деревне.","Занялась заря на небе,
В поле ясно и тепло;
Звонко ласточки щебечут;
Просыпается село.

Просыпается забота,
Гонит сон и будит лень.
Здесь и там скрипят ворота -
Настает рабочий день.

Из ворот пастух выходит,
Помолившись на восток,
Он рожок берет - и звонко
Залился его рожок.

Побрело на выгон стадо,
Звук рожка замолк вдали,
И крестьяне на работу
На поля свои пошли.

Зреет рожь и колосится,
Славный плод дала земля!
Солнце встало, разливая
Свет на хлебные поля.

И глядя на них, крестьяне
Жарко молятся, чтоб бог
Эти пажити от града
И засухи уберег;

Чтобы мог удачно пахарь
Все посеянное сжать
И не стал бы в эту зиму
Горевать и голодать."
"Придумайте короткое стихотворение, в котором две бабушки гордятся успехами своих внуков в учебе и поздравляют друг друга, хотя экзамены сдавали дети.","Сидели на пригорке.
Рассказывали бабушки:
- У нас одни пятерки!
Друг друга поздравляли,
Друг другу жали руки,
Хотя экзамен сдали
Не бабушки, а внуки!"
"Придумай небольшое весёлое стихотворение про домашних животных, где каждая строчка представляет собой звукоподражание животному и короткое описание его действия.","Ку-ка-ре-ку! Кур стерегу.
Кудах-тах-тах! Снеслась в кустах.
Пить, пить, пить! Воды попить.
Мурр-мурр... Пугаю кур.
Кра, кра, кра! Завтра дождь с утра.
Му-у, му-у! Молока кому?"
"Придумай стихотворение о потерянном или сбежавшем ёжике, с которым дружил ребенок.","Он сбежал у меня на глазах.
Я его провожаю в слезах.
Мы с ежом замечательно жили,
Уважали друг дружку, дружили.
Позволял он потрогать брюшко.
Он с ладошки лизал молоко.
У него была милая рожица.
Не любил он колоться и ёжиться.
Но открытой оставили дверь,
И сердитый бежит он теперь.
Как чужой, и шипит он и колется.
Проводил я его до околицы.
И в колючей траве он исчез,
И в дремучий отправился лес."
"Пожалуйста, придумай небольшое стихотворение о семье снеговиков, которые были слеплены во дворе возле дома.","Возле дома снежный дед
В шубу снежную одет.
Он кряхтит на всю округу,
Он зовет свою подругу.
Мы и стали во всю прыть
Бабу снежную лепить.
А она сказала: – Скука!
Нету внучки, нету внука!
Мы слепили и внучат –
Маленьких снеговичат."
"Пожалуйста, придумай небольшое стихотворение для детей, в котором сравниваются глаза совы и синицы и описывается их образ жизни в разное время суток.","У совы у старой
Не глаза, а фары –
Круглые, большие,
Страшные такие.
А у птички у синички,
У синички-невелички,
Глазки, словно бусинки,
Малюсенькие.
Но синичьи глазки
Смотрят без опаски
И на облачко вдали,
И на зёрнышко в пыли.
Днём сова не видит,
Значит, не обидит.
Ночь вошла в свои права,
В путь пускается сова.
Всё глаза огромные
Видят ночью тёмною.
А синица не боится,
Потому что спит синица,
Крепко спит она в гнезде,
Не видать её нигде."
"Пожалуйста, придумай трогательное стихотворение о важной роли учителей в жизни каждого человека и о благодарности им за их бесценный труд.","И снова в позолоте тополя,
А школа - как корабль у причала,
Где ждут учеников учителя,
Чтоб новой жизни положить начало.
На свете нет богаче и щедрей,
Чем эти люди, вечно молодые.
Мы помним всех своих учителей,
Хотя и сами уж почти седые.
Они в судьбе у каждого из нас,
По ней проходят словно красной нитью.
Мы гордо произносим каждый раз
Простых три слова: ""Это мой учитель"".
Мы все в его надежнейших руках:
Ученый, врач, политик и строитель...
Живи всегда в своих учениках
И счастлив будь, наш капитан-учитель!"
"Придумайте небольшое новогоднее стихотворение о нарядной ёлке, на которой горят огоньки, а на веточках лежит снег.","Дед Мороз прислал нам елку,
Огоньки на ней зажег.
И блестят на ней иголки,
А на веточках – снежок!"
"Попросите меня придумать небольшое стихотворение о звуках, которые обычно слышит маленький ребёнок по утрам дома.","Слышно, как пила
Зазвенела во дворе,
Голос подала.

Слышно, как топор стучит...
Замолчал топор,
Завели дрова в печи
Тихий разговор.

Чайник в комнате запел:
„Я готов! Я закипел!
Пей горячий чай,
Чайник выключай!""

Бой часов, и скрип дверей,
И посуды звон
Слышит маленький Андрей
По утрам сквозь сон.

К этим звукам, голосам
Младший брат привык.
Громче всех кричит он сам -
Слышен в доме по утрам
Звонкий детский крик."
"Придумайте, пожалуйста, небольшое стихотворение о безусловной материнской любви, важности матери в жизни ребенка и благодарности мамам за их заботу и поддержку.","Только мамы нас любят не за что-то, а просто,
Только лишь потому, что мы есть, мы живем,
Только к мамам идем мы по важным вопросам,
Только им свои беды, проблемы несем.
Посвящаем мы мамам успехи, побед"
"Пожалуйста, придумай небольшое новогоднее стихотворение о зимних каникулах и веселье школьников на праздниках.","Урок меня не спрашивай,
Не спрашивай, не спрашивай,
Урок меня не спрашивай,-
На отдыхе отряд,
На елке разукрашенной
Фонарики горят.
Повеселятся школьники
В свободные деньки.
Мы - за город, в Сокольники,
На лыжи, на коньки.
Провалишься до пояса,
До пояса, до пояса,
Провалишься до пояса,
Останешься в снегу,
А я на лыжах по лесу
До Северного полюса
Как хочешь пробегу!
Урок меня не спрашивай,
Не спрашивай, не спрашивай,
Урок меня не спрашивай,-
На отдыхе отряд,
На елке разукрашенной
Фонарики горят.
А все тетрадки
Спрятаны,
Пускай пока
Поспят они."
"Пожалуйста, придумайте стихотворение для моего ребёнка на тему первого дня в школе или детском саду, которое бы вдохновило его хорошо учиться.","В этот первый день осенний
Принимайте поздравленья
И учитесь «на ура»!
Знание – сила! Так будьте сильны,
И от превратностей защищены!
Проще в труде и спокойней в бою
Людям, что знают работу свою!
Знают свое мастерство мастера,
Знают свои корабли шкипера,
Знает законы мудрый юрист,
Каждую роль - знаменитый артист.
Глядя на них, ты учись, не ленись,
Лишь научившись - за дело берись!"
"Пожалуйста, придумай небольшое стихотворение о том, как матрешки скучали друг по дружке, сидя одна в другой.","Другая матрешка
И очень скучала
Матрешка в матрешке.

А в этой матрешке —
«Матрешке в матрешке» —
Сидела скучала
Другая матрешка.

Сидела скучала
Другая матрешка
Размером, конечно,
Поменьше немножко.

В матрешке «размером
Поменьше немножко»
Сидела матрешка
Не больше горошка.

Сидела матрешка
Не больше горошка
И тоже скучала
Несчастная крошка.

И что интересно
В «несчастной той крошке»
Еще разместились
Четыре матрешки.

Еще разместились
Четыре матрешки,
Примерно такие,
Как мушки и мошки.

Любому понятно,
Что каждой матрешке
Хотелось побегать
В саду по дорожке,

Хотелось в траве
Поваляться немножко,
Размять свои ручки,
Размять свои ножки.

Но что они
Могут поделать, матрешки?
У них деревянные
Ручки и ножки.

У них деревянные
Ручки и ножки.
Скучают матрешки
И то понарошке."
"Не могли бы вы придумать короткое остроумное стихотворение про курицу-наседку, которая нашла червячка для своих цыплят и спешит домой, чтобы похвастаться перед петухом своей находкой?","Квохчет курица наседка:
- Червяка нашла я деткам!
К дому мчится во весь дух:
- Похвали меня, петух!"
"Придумайте небольшое стихотворение про ребёнка, который собирает на берегу моря ракушки для своей коллекции.","Море вынесло ракушки
На пологий бережок
И как будто для просушки
Положило на песок.
Пусть лежат на берегу,
Я за ними прибегу!"
"Придумайте, пожалуйста, небольшое стихотворение о наступлении осени и грусти по уходящему лету, чтобы его можно было прочитать ребенку.","Я хожу, грущу один:
Осень рядом где-то.
Желтым листиком в реке
Утонуло лето.
Я ему бросаю круг -
Свой венок последний.
Только лето не спасти,
Если день - осенний."
"Пожалуйста, придумайте короткое стихотворение о том, как маленький ученик благодарит своего любимого учителя музыки за его доброту, мастерство и увлекательные уроки.","Я радуюсь, что в школе есть учитель,
Которого я больше всех люблю.
За музыку его, рожденную роялем,
Я от души его благодарю.
Спасибо вам за доброту и ласку,
За светлый миг удач
И плач фальшивых нот,
За конкурсов волнующую сказку.
Пусть вечно длится Музыки урок!"
"Придумайте небольшое стихотворение о том, как морковь снится под землёй и ей угрожают, чтобы она показалась наружу.","Дремлет под землёй МОРКОВЬ.
Что же ей там снится?
Пригрoзим, нахмурив бровь -
Покажись, девица!"
"Можешь придумать короткое стихотворение о диалоге между ребенком и взрослым, где ребенок постоянно просит о чем-то, а взрослый соглашается при условии, что ребенок выполнит какое-то маленькое поручение? Например, ребенок просит взять его на пляж, а взрослый просит в ответ что-то сделать.","В будний день и в выходной
Раздается за стеной:
— Ты возьмешь меня на пляж?
— Что ты мне за это дашь?
— Очини мне карандаш!
— Что ты мне за это дашь?
Алексей пришел из школы,"
"Пожалуйста, придумай короткое стихотворение для моего ребенка, рассказывающее о том, как герой постоянно откладывает свои дела на потом, но в итоге перед ним встает неотложная задача, которую нельзя отложить.","Над чистым листом?
Нет, я чертеж
Отложу на потом.
Ведь не приклеена
Я к чертежу?
Сбегаю к Шурке,
Секрет ей скажу.
Нет, я, пожалуй,
Секрет отложу,
Лучше я с книжкой
Часок посижу.
Книжка попалась —
Увесистый том,
Я отложила ее
На потом,
Снова страдаю
Над чистым листом...
Столько забот,
Все дела да дела...
Жалко, я ночь
Отложить не смогла.
Проспала!"
"Можешь ли ты придумать небольшое стихотворение о маме, которое я мог бы прочитать своему ребенку?","Любому, кто живет на белом свете,
Любить, кто может, думать и дышать,
На нашей грешной голубой планете
Родней и ближе слова нет, чем мать.
Нам наши мамы, мамочки родные
Сердца и жизни отдадут без слов.
Для нас они воистину святые,
Неважно, что нет нимбов у голов.
Мы маму вспоминаем, словно Бога,
Коль с нами вдруг случается беда.
Ухабиста, порой судьбы дорога,
Однако матери поймут детей всегда.
Поймут детей и в радости и в горе,
Уберегут родных детей от бед.
С родной лишь мамой по колено море,
Лишь мамин нужен в трудный миг совет.
Мы в жизни разными дорогами шагали
Неважно, сколько зим и сколько лет,
Но эту истину давно уже познали:
Родней, чем мама, человека нет."
"Пожалуйста, придумайте короткое весеннее стихотворение-поздравление для учителя от имени родителей и детей, в котором есть пожелания успехов, благодарность за поддержку и доброе отношение, а также тёплые пожелания на будущее.","В этот радостный праздник весенний
Мы спешим с поздравленьями в класс –
Пожелать Вам успехов, везенья,
Очень любим и ценим мы Вас!
Пусть весна будет доброй, счастливой,
Принесёт много новых побед!
За поддержку, за чуткость – спасибо!
Ярких, светлых и творческих лет!"
"Придумайте небольшое стихотворение о забавном дедушке Морозе, который пришёл на праздничную ёлку к ребятишкам.","К нам на елку – ой-ой-ой!
Дед Мороз идет живой.
Ну и дедушка Мороз!
Что за щеки, что за нос!
Борода-то, борода!
А на шапке-то звезда!
На носу-то крапины!
А глаза-то... папины!"
